Place id,Parent id,Place name,Related objects,Title
703,61,Ālu-ša-Amassu-uṣur,,Ālu-ša-Amassu-uṣur
655,40,Šušan,1516,Šušan
607,40,Qaštu,,Qaštu
559,40,Kuzabatu,,Kuzabatu
511,40,Huṣṣēti-ša-Mulakkid,,Huṣṣēti-ša-Mulakkid
463,40,Hašbāja,8531,Hašbāja
415,40,Enlil-hūr,,Enlil-hūr
367,40,Bīt-ša-rēši,,Bīt-ša-rēši
319,40,Bīt-Nabû-ittija,,Bīt-Nabû-ittija
271,40,Bīt-Il-šakā,,Bīt-Il-šakā
223,40,Bīt-Baharri,,Bīt-Baharri
175,40,Bāb-Nār-Kabar,,Bāb-Nār-Kabar
127,40,Ālu-ša-Nabû-dajjānu,,Ālu-ša-Nabû-dajjānu
79,4,Qirbit,,Qirbit
31,40,Addijāja,154,Addijāja
1539,37,Ḫuṣṣēti-ša-Bēl-ēṭir,7364,Ḫuṣṣēti-ša-Bēl-ēṭir
1522,37,Ālu-ša-Murānu,8103,Ālu-ša-Murānu
1506,37,Bāb-Nār-Barsip  ,7767,Bāb-Nār-Barsip  
1490,37,Bābtu,8174,Bābtu
1470,4,Unknown place,,Unknown place
1453,55,Upiya,,Upiya
1434,82,Hadālu,6015,Hadālu
1416,61,Ša-ṣuru-Adad,5401,Ša-ṣuru-Adad
1381,37,Til-Gula,8039,Til-Gula
1327,61,Til-Šūlā,,Til-Šūlā
1279,61,Tamertu-ša-Bēl-[],,Tamertu-ša-Bēl-[]
1231,61,Šappāja,,Šappāja
1180,61,Nūnu,,Nūnu
1132,61,Lasūtu,,Lasūtu
1084,61,Ibulu,,Ibulu
1036,61,Hišubati,,Hišubati
988,61,Gadijatu,,Gadijatu
940,61,Bīt-[],,Bīt-[]
892,61,Bīt-mār-Bābili,,Bīt-mār-Bābili
844,61,Bīrtu-ša-Bazāja,,Bīrtu-ša-Bazāja
796,61,Bāb-hilti,,Bāb-hilti
748,61,Ālu-ša-šasi'ūa,,Ālu-ša-šasi'ūa
700,61,Ālu-ša-Admu,,Ālu-ša-Admu
652,40,Šēlā,,Šēlā
604,40,Puṣāja,,Puṣāja
556,40,Kutal-Eanna,,Kutal-Eanna
508,40,Huṣṣēti-ša-mār-šarri,,Huṣṣēti-ša-mār-šarri
460,40,Harubatu,,Harubatu
412,40,Enlil-ašābšu-iqbi,1357,Enlil-ašābšu-iqbi
364,40,Bīt-Šamaš,,Bīt-Šamaš
316,40,Bīt-Nabû-gāmil,,Bīt-Nabû-gāmil
268,40,Bīt-Ilipāja,,Bīt-Ilipāja
220,40,Bīt-Bagadāti,,Bīt-Bagadāti
172,40,Bāb-Nār-Dērat,,Bāb-Nār-Dērat
124,40,Ālu-ša-maqtūtu,,Ālu-ša-maqtūtu
76,4,Dēr (NE Babylonia),,Dēr (NE Babylonia)
28,40,Bit Gira',40,Bit Gira'
1538,52,Ālu-ša-Kalbā,7256,Ālu-ša-Kalbā
1521,76,Akšak,,Akšak
1505,37,Ālu-ša-Nabû-uballiṭ,7181,Ālu-ša-Nabû-uballiṭ
1487,43,Bar-tibni,6610,Bar-tibni
1469,4,Broken,7204,Broken
1452,85,Tahmakka,6498,Tahmakka
1433,85,Harimmu,6054,Harimmu
1415,61,Šapīya,5379,Šapīya
1378,55,Bāb-Bitāqu,4349,Bāb-Bitāqu
1324,61,Til-Nanâ [Duplicate],,Til-Nanâ [Duplicate]
1276,61,Tahūṭā,,Tahūṭā
1228,61,Šanāpu,,Šanāpu
1177,61,Nuhšānītu,5386,Nuhšānītu
1129,61,Lahitu,,Lahitu
1081,61,Huṣṣēti-ša-[],,Huṣṣēti-ša-[]
1033,61,Hiri[],,Hiri[]
985,61,Ekallāti,,Ekallāti
937,61,Bīt-[]ni,,Bīt-[]ni
889,61,Bīt-Lugal-banda,,Bīt-Lugal-banda
841,61,Birhīni,,Birhīni
793,61,Bāb-Harri-Marduk-apla-iddina,,Bāb-Harri-Marduk-apla-iddina
745,61,Ālu-ša-Nabû-šuma-iddina,,Ālu-ša-Nabû-šuma-iddina
697,61,Agurrēti,,Agurrēti
649,40,Šatirtu,7949,Šatirtu
601,40,Paršušu,,Paršušu
553,40,Kār-Ninurta,,Kār-Ninurta
505,40,Huṣṣēti-ša-malahhāni,,Huṣṣēti-ša-malahhāni
457,40,Ham-qadu,,Ham-qadu
409,40,Dūr-Tabbiru,,Dūr-Tabbiru
361,40,Bīt-Šahāṭu,,Bīt-Šahāṭu
313,40,Bīt-Murašû,,Bīt-Murašû
265,40,Bīt-Hadūru,,Bīt-Hadūru
217,40,Bīt-Arzā,8547,Bīt-Arzā
169,40,Arzuhinni,,Arzuhinni
121,40,Ālu-ša-*Lūṣâ-a(na)-nūri,,Ālu-ša-*Lūṣâ-a(na)-nūri
73,4,Sealand,,Sealand
25,37,Babylon city,7063,Babylon city
1537,37,Bit-Hahhūru,7302,Bit-Hahhūru
1520,1470,Huṣṣēti-ša-Nabû-immē ,7890,Huṣṣēti-ša-Nabû-immē 
1504,37,Ālu-ša-Ubār ,7801,Ālu-ša-Ubār 
1486,43,Ālu-ša-Bēl-iddin,6609,Ālu-ša-Bēl-iddin
1468,70,Kēš,2316,Kēš
1451,85,Ailtammu,6493,Ailtammu
1432,85,Kār-Aššūr,6008,Kār-Aššūr
1414,52,Nagītu,5500,Nagītu
1375,37,Šaḫrīn,7573,Šaḫrīn
1321,61,Til-Nanâ,,Til-Nanâ
1273,61,Tahi,,Tahi
1225,61,Šalāmē,,Šalāmē
1174,61,Nuhānu,,Nuhānu
1126,61,Kūṣāja,,Kūṣāja
1078,61,Huṣṣēti-ša-Nabû-nāṣi,,Huṣṣēti-ša-Nabû-nāṣi
1030,61,Hinṭu,,Hinṭu
982,61,Dūru-ša-x-Nār-[],,Dūru-ša-x-Nār-[]
934,61,Bīt-Zu-gunabu,,Bīt-Zu-gunabu
886,61,Bīt-Kuzba-ili,,Bīt-Kuzba-ili
838,61,Bīrāti,,Bīrāti
790,61,Bāb-Aššurītu,,Bāb-Aššurītu
742,61,Ālu-ša-Nabû-bān-ahi,,Ālu-ša-Nabû-bān-ahi
694,40,Zambūrāja,,Zambūrāja
646,40,Ša-rēšē,,Ša-rēšē
598,40,Parak-Māri,,Parak-Māri
550,40,Išqallūnu,,Išqallūnu
502,40,Huṣṣēti-ša-Maguš,,Huṣṣēti-ša-Maguš
454,40,Hambari,,Hambari
406,40,Bīt-[],,Bīt-[]
358,40,Bīt-Ṣūrāja,,Bīt-Ṣūrāja
310,40,Bīt-Mūrānu,,Bīt-Mūrānu
262,40,Bīt-Haddija,,Bīt-Haddija
214,40,Bīt-Ardija,,Bīt-Ardija
166,40,Aruma,,Aruma
118,40,Ālu-ša-Handīdi,,Ālu-ša-Handīdi
70,4,South-east Babylonia,,South-east Babylonia
22,40,Nippur city,8508,Nippur city
1536,1470,Šiknu-ša-ina-muhhi-Nār-Bagaddu,7447,Šiknu-ša-ina-muhhi-Nār-Bagaddu
1519,37,Ālu-ša-Mušētiq,6713,Ālu-ša-Mušētiq
1503,37,Dūru-ša-karrabbi ,7843,Dūru-ša-karrabbi 
1485,85,Tubbia,6493,Tubbia
1467,70,Bīt-Hamma [],2484,Bīt-Hamma []
1450,85,Humadēšu,7306,Humadēšu
1431,55,Bīt-Burisē,5904,Bīt-Burisē
1413,37,Ma-ši-˹x-x-x˺,,Ma-ši-˹x-x-x˺
1372,37,Šabilu,4333,Šabilu
1318,61,Til-Massaka,,Til-Massaka
1270,61,Tagabti,,Tagabti
1222,61,Šalabu,,Šalabu
1171,61,Nēberu-ša-dūri,,Nēberu-ša-dūri
1123,61,Kurbat,,Kurbat
1075,61,Huṣṣēti-ša-Nabû-hammē,,Huṣṣēti-ša-Nabû-hammē
1027,61,Himuru,2511,Himuru
979,61,Dūru-ša-Jatiru,,Dūru-ša-Jatiru
931,61,Bīt-Zabūnu,,Bīt-Zabūnu
883,61,Bīt-Kur(?)kana,,Bīt-Kur(?)kana
835,61,Bīrānāti,,Bīrānāti
787,61,Bāb-āli,,Bāb-āli
739,61,Ālu-ša-mār-šarri,,Ālu-ša-mār-šarri
691,40,Zamamē,,Zamamē
643,40,Šapputtu,,Šapputtu
595,40,Parakku,,Parakku
547,40,Iq[]bi[]ṣu(?),,Iq[]bi[]ṣu(?)
499,40,Huṣṣēti-ša-Kalbā,,Huṣṣēti-ša-Kalbā
451,40,Hambanāja,,Hambanāja
403,40,Bīt-[]ni,,Bīt-[]ni
355,40,Bīt-Ṣababa-ēreš,,Bīt-Ṣababa-ēreš
307,40,Bīt-Marūdu,,Bīt-Marūdu
259,40,Bīt-Gīrā,,Bīt-Gīrā
211,40,Bīt-Aplā,,Bīt-Aplā
163,40,Arqā,,Arqā
115,40,Ālu-ša-Hammija,,Ālu-ša-Hammija
67,4,Ur,,Ur
1552,37,"Ālu-ša-Nabû-uballiṭ//Marduk-erība ša ina muhhi nār Piqūdu




",7214,"Ālu-ša-Nabû-uballiṭ//Marduk-erība ša ina muhhi nār Piqūdu




"
1535,37,Paširi ,7043,Paširi 
1518,52,Hallatu,7724,Hallatu
1502,37,Lītamu ,7848,Lītamu 
1484,43,Ālu-ša-mê-Bīt-Bēl-kāṣir,6650,Ālu-ša-mê-Bīt-Bēl-kāṣir
1466,70,Hamat,2499,Hamat
1446,37,Šuppatu,6240,Šuppatu
1430,1429,Marad City,5902,Marad City
1412,37,Himeri,5572,Himeri
1369,85,Šušan,7859,Šušan
1315,61,Tillē-ša-Nanâ,,Tillē-ša-Nanâ
1267,61,Tabīnu-ša-Šuma-ukīn,,Tabīnu-ša-Šuma-ukīn
1219,61,Šadatu,,Šadatu
1168,61,Nazzû-rabû,,Nazzû-rabû
1120,61,Kirāti,,Kirāti
1072,61,Huṣṣēti-ša-mār-šarri,,Huṣṣēti-ša-mār-šarri
1024,61,Hiltu-ša-Bīt-Nabû,,Hiltu-ša-Bīt-Nabû
976,61,Dūru-ša-Gidāni,,Dūru-ša-Gidāni
928,61,Bīt-{lú}U.MUK{meš},,Bīt-{lú}U.MUK{meš}
880,61,Bīt-Kīnā,,Bīt-Kīnā
832,61,Bēltija,,Bēltija
784,61,A[]tu,,A[]tu
736,61,Ālu-ša-Lanē,,Ālu-ša-Lanē
688,40,Ugar-Kāṣir,,Ugar-Kāṣir
640,40,Šalāmē,,Šalāmē
592,40,Pandānu,,Pandānu
544,40,Imm[er]tu,,Imm[er]tu
496,40,Huṣṣēti-ša-Bau-ēreš,,Huṣṣēti-ša-Bau-ēreš
448,40,Hajin,,Hajin
400,40,Bīt-Zukkītu,,Bīt-Zukkītu
352,40,Bīt-Sîn-līšir,,Bīt-Sîn-līšir
304,40,Bīt-mār-Bābili,,Bīt-mār-Bābili
256,40,Bīt-Gaššīšu,,Bīt-Gaššīšu
208,40,Bīt-Akkē,,Bīt-Akkē
160,40,Arbā,,Arbā
112,40,Ālu-ša-aškāpē,,Ālu-ša-aškāpē
64,4,Larsa,,Larsa
1551,4,Illegible,7969,Illegible
1534,61,Tagritajn,6985,Tagritajn
1517,52,Bābu-ša-kirāti,7718,Bābu-ša-kirāti
1501,37,Ālu-ša-Bēl-ittannu ,7793,Ālu-ša-Bēl-ittannu 
1483,43,Bīt-ša-Bēl-ūdu,6641,Bīt-ša-Bēl-ūdu
1465,70,Bīt-Dibušiti,2505,Bīt-Dibušiti
1445,37,Nāru-eššu-elû,6267,Nāru-eššu-elû
1429,4,Marad,,Marad
1411,88,Dilbat city,5544,Dilbat city
1366,49,Kiš City,5526,Kiš City
1312,61,Til-lahrāti,,Til-lahrāti
1264,61,Šubat-parakki,,Šubat-parakki
1216,61,Sūrānu,,Sūrānu
1165,61,Nazzû-qallu,,Nazzû-qallu
1117,61,Kār-Ninurta,,Kār-Ninurta
1069,61,Huṣṣēti-ša-Kidinu,,Huṣṣēti-ša-Kidinu
1021,61,Hiltu,5850,Hiltu
973,61,Dūru-ša-Bīt-Dakūri,,Dūru-ša-Bīt-Dakūri
925,61,Bīt-Šarru-rimanni,,Bīt-Šarru-rimanni
877,61,Bīt-Kāṣir,,Bīt-Kāṣir
829,61,Bēlāja,,Bēlāja
781,61,A[]ani,,A[]ani
733,61,Ālu-ša-kizû,,Ālu-ša-kizû
685,40,Titurru-ša-Sîn-māgir,,Titurru-ša-Sîn-māgir
637,40,Šahumāja,,Šahumāja
589,40,Ninurta-ašābšu-[iqbi?],,Ninurta-ašābšu-[iqbi?]
541,40,Immalat,,Immalat
493,40,Huṣṣēti-ša-Auqqadu,,Huṣṣēti-ša-Auqqadu
445,40,Gutê,,Gutê
397,40,Bīt-Zēra-līšir,394,Bīt-Zēra-līšir
349,40,Bīt-Sîn-erība,,Bīt-Sîn-erība
301,40,Bīt-Kikī,,Bīt-Kikī
253,40,Bīt-Galalānu,,Bīt-Galalānu
205,40,Bīt-Ahi-larīm,,Bīt-Ahi-larīm
157,40,Arazūa,,Arazūa
109,40,Ālu-ša-Ašar[],,Ālu-ša-Ašar[]
61,4,Uruk,,Uruk
1550,4,No place,7274,No place
1533,37,Huṣṣēti-ša-Hahhūru,7540,Huṣṣēti-ša-Hahhūru
1516,85,Urāzu-mētanu,7790,Urāzu-mētanu
1500,85,Agmatānu,7787,Agmatānu
1482,43,Ṣibtu,6632,Ṣibtu
1464,70,Ālu-ša-Amurru-šar-uṣur ša muhhi nār Zabinā,2328,Ālu-ša-Amurru-šar-uṣur ša muhhi nār Zabinā
1444,37,Bīt-šar-Bābili,7502,Bīt-šar-Bābili
1427,55,Zuhrini,,Zuhrini
1410,52,Borsippa city,5810,Borsippa city
1359,70,Našar,2319,Našar
1309,61,Til-hurāṣi,,Til-hurāṣi
1261,61,Šingu,,Šingu
1213,61,Serrēmu,,Serrēmu
1162,61,Naṣībāta,,Naṣībāta
1114,61,Kār-Nanâ,,Kār-Nanâ
1066,61,Huṣṣēti-ša-Hašdija,,Huṣṣēti-ša-Hašdija
1018,61,Hibṭūni,,Hibṭūni
970,61,Dūru-ša-Barīhi,,Dūru-ša-Barīhi
922,61,Bīt-Šapru',,Bīt-Šapru'
874,61,Bīt-Ibā,,Bīt-Ibā
826,61,Bēl-ibni,,Bēl-ibni
778,61,Attiki'a,,Attiki'a
730,61,Ālu-ša-Kī-Nabû,,Ālu-ša-Kī-Nabû
682,40,Til-ṣalam,,Til-ṣalam
634,40,Sūr-Hilūnu,,Sūr-Hilūnu
586,40,Nēbertu,,Nēbertu
538,40,Ibulē,,Ibulē
490,40,Huṣṣēti-ša-Amurra-paqa,,Huṣṣēti-ša-Amurra-paqa
442,40,Giššu,,Giššu
394,40,Bīt-Zazakku,,Bīt-Zazakku
346,40,Bīt-Sîn-ēreš,,Bīt-Sîn-ēreš
298,40,Bīt-Higlā,,Bīt-Higlā
250,40,Bīt-Erība,,Bīt-Erība
202,40,Bīt-ae[],,Bīt-ae[]
154,40,Appāru-ša-Tahmija,,Appāru-ša-Tahmija
106,40,Ālu-ša-Ardāni,,Ālu-ša-Ardāni
58,4,Isin,,Isin
